Subject info,Project,Project 1,,,,,
,First Name,,,,,,
,Last Name,Kehlin trial,,,,,
,Sex,Male,,,,,
,Date of birth,,,,,,
,,,,,,,
Record info,Name,Homer Technique,,,,,
,Date Measured,6/15/2018 10:51,,,,,
,Number of periods,1,,,,,
,,,,,,,
Analyzed Signal,"Time, s",,"TIB.ANT. RT, uV","PERONEUS RT, uV","LAT. GASTRO RT, uV","MED. GASTRO RT, uV","Homer Technique, phases"
,119.818,,2.6986,6.54199,-10.524,30.5612,1
,119.8187,,2.99035,8.98539,-16.6411,92.8206,1
,119.8193,,1.16696,1.02465,-17.8485,80.0276,1
,119.82,,-1.53164,-7.25137,0.462813,36.318,1
,119.8207,,-3.06328,-2.0493,21.5107,45.4864,1
,119.8213,,-2.18806,-4.80797,14.1862,21.6771,1
,119.822,,-1.53164,-14.5027,-9.01479,-97.9378,1
,119.8227,,-1.53164,-3.23159,-12.3551,-159.913,1
,119.8233,,0.583482,13.2416,3.80312,-101.278,1
,119.824,,2.11512,11.9805,15.1119,-71.9964,1
,119.8247,,2.40686,8.03956,9.29651,-94.5974,1
,119.8253,,5.76188,3.78332,-0.764648,-73.8443,1
,119.826,,7.87701,-4.49269,-1.06648,-39.9427,1
,119.8267,,4.23024,-1.41875,4.72874,-35.3941,1
,119.8273,,1.4587,1.97048,7.46538,-25.8704,1
,119.828,,4.23024,-7.25137,7.46538,-18.5499,1
,119.8287,,6.05363,-4.17742,8.99467,-15.4938,1
,119.8293,,4.81373,8.03956,12.3551,6.46759,1
,119.83,,4.23024,2.83749,9.61846,16.8442,1
,119.8307,,4.23024,-5.35971,3.19945,4.904,1
,119.8313,,5.76188,-0.788192,3.19945,-1.49252,1
,119.832,,7.87701,4.72915,1.06648,-29.5661,1
,119.8327,,6.71004,4.72915,-6.86171,-81.1647,1
,119.8333,,3.64676,3.15277,2.89761,-85.1448,1
,119.834,,4.81373,1.97048,20.2833,-39.6584,1
,119.8347,,5.76188,-1.73402,9.9203,-8.52869,1
,119.8353,,2.11512,-7.25137,-9.61846,-6.68081,1
,119.836,,2.11512,-5.99026,-4.42691,-10.3055,1
,119.8367,,7.00178,4.0986,1.06648,-10.6609,1
,119.8373,,7.87701,5.91144,-7.78733,-5.11722,1
,119.838,,3.35502,1.33993,-5.03058,2.77183,1
,119.8387,,1.82338,3.15277,2.29394,1.2793,1
,119.8393,,3.9385,1.02465,-5.03058,-10.3055,1
,119.84,,4.52199,-5.35971,-7.18366,-16.7731,1
,119.8407,,2.99035,0.709373,1.36832,-13.3616,1
,119.8413,,2.11512,4.72915,7.78733,-1.77681,1
,119.842,,0.291741,-2.60103,19.3778,23.525,1
,119.8427,,-2.18806,-0.472915,24.2474,48.2582,1
